Date,Open
10/26/15,17649.57031
10/23/15,17525.10938
10/22/15,17180.88086
10/21/15,17225.92969
10/20/15,17228.4707
10/19/15,17209.42969
10/16/15,17141.75
10/15/15,16944.85938
10/14/15,17079.08008
10/13/15,17113.55078
10/12/15,17082.28906
10/9/15,17054.68945
10/8/15,16904.16992
10/7/15,16805.41992
10/6/15,16774.01953
10/5/15,16502.09961
10/2/15,16258.25
10/1/15,16278.62012
9/30/15,16057.08008
9/29/15,16001.75977
9/28/15,16313.25977
9/25/15,16205.07031
9/24/15,16257.11035
9/23/15,16332.80957
9/22/15,16477.44922
9/21/15,16406.09961
9/18/15,16674.74023
9/17/15,16738.08008
9/16/15,16599.50977
9/15/15,16382.58008
9/14/15,16450.85938
9/11/15,16330.40039
9/10/15,16252.57031
9/9/15,16505.03906
9/8/15,16109.92969
9/4/15,16371.75977
9/3/15,16364.33984
9/2/15,16058.34961
9/1/15,16528.0293
8/31/15,16632.01953
8/28/15,16649.41992
8/27/15,16285.50977
8/26/15,15676.25977
8/25/15,15882.26953
8/24/15,16459.75
8/21/15,16990.68945
8/20/15,17345.32031
8/19/15,17508.74023
8/18/15,17537.30078
8/17/15,17472.66016
8/14/15,17410.11914
8/13/15,17401.64063
8/12/15,17382.92969
8/11/15,17593.58984
8/10/15,17375.17969
8/7/15,17414.93945
8/6/15,17542.60938
8/5/15,17555.24023
8/4/15,17596.92969
8/3/15,17696.74023
7/31/15,17755.86914
7/30/15,17743.24023
7/29/15,17631.40039
7/28/15,17449.81055
7/27/15,17561.7793
7/24/15,17731.05078
7/23/15,17853.7793
7/22/15,17918.34961
7/21/15,18096.66992
7/20/15,18085.91016
7/17/15,18117.58008
7/16/15,18078.16016
7/15/15,18053.38086
7/14/15,17974.60938
7/13/15,17787.26953
7/10/15,17561.11914
7/9/15,17530.38086
7/8/15,17759.00977
7/7/15,17684.91992
7/6/15,17728.08008
7/2/15,17763.32031
7/1/15,17638.11914
6/30/15,17599.96094
6/29/15,17936.74023
6/26/15,17892.0293
6/25/15,17977.10938
6/24/15,18139.09961
6/23/15,18121.7793
6/22/15,18027.63086
6/19/15,18116.24023
6/18/15,17944.60938
6/17/15,17909.58008
6/16/15,17787.42969
6/15/15,17890.75977
6/12/15,18035.83008
6/11/15,18001.26953
6/10/15,17765.38086
6/9/15,17766.94922
6/8/15,17849.46094
6/5/15,17905.38086
6/4/15,18072.4707
6/3/15,18018.41992
6/2/15,18033.33008
6/1/15,18017.82031
5/29/15,18128.11914
5/28/15,18154.14063
5/27/15,18045.08008
5/26/15,18229.75
5/22/15,18286.86914
5/21/15,18285.86914
5/20/15,18315.06055
5/19/15,18300.48047
5/18/15,18267.25
5/15/15,18251.9707
5/14/15,18062.49023
5/13/15,18070.36914
5/12/15,18096.16016
5/11/15,18187.7793
5/8/15,17933.64063
5/7/15,17840.25
5/6/15,17934.81055
5/5/15,18062.5293
5/4/15,18026.01953
5/1/15,17859.26953
4/30/15,18033.33008
4/29/15,18093.68945
4/28/15,18035.90039
4/27/15,18097.89063
4/24/15,18056.41992
4/23/15,18031.90039
4/22/15,17950.82031
4/21/15,18034.23047
4/20/15,17841.17969
4/17/15,18102.56055
4/16/15,18106.26953
4/15/15,18045.71094
4/14/15,17979.10938
4/13/15,18052.32031
4/10/15,17956.73047
4/9/15,17902.50977
4/8/15,17877.61914
4/7/15,17884.32031
4/6/15,17755.5
4/2/15,17699.51953
4/1/15,17778.51953
3/31/15,17965.36914
3/30/15,17727.48047
3/27/15,17673.63086
3/26/15,17716.26953
3/25/15,18012.60938
3/24/15,18110.86914
3/23/15,18136.73047
3/20/15,17961.13086
3/19/15,18072.58008
3/18/15,17846.80078
3/17/15,17972.2207
3/16/15,17751.24023
3/13/15,17889.05078
3/12/15,17626.83984
3/11/15,17662.93945
3/10/15,17989.56055
3/9/15,17856.56055
3/6/15,18135.7207
3/5/15,18096.90039
3/4/15,18203.36914
3/3/15,18281.94922
3/2/15,18134.05078
2/27/15,18213.25977
2/26/15,18224.41016
2/25/15,18208.66992
2/24/15,18112.57031
2/23/15,18140.75977
2/20/15,17985.76953
2/19/15,18028.66992
2/18/15,18045.7207
2/17/15,18019.80078
2/13/15,17968.65039
2/12/15,17862.14063
2/11/15,17867.85938
2/10/15,17736.15039
2/9/15,17821.49023
2/6/15,17881.53906
2/5/15,17677.25977
2/4/15,17664.99023
2/3/15,17369.9707
2/2/15,17169.99023
1/30/15,17416.84961
1/29/15,17195.28906
1/28/15,17402.91016
1/27/15,17638.5293
1/26/15,17668.10938
1/23/15,17812.5
1/22/15,17557.28906
1/21/15,17509.96094
1/20/15,17516.96094
1/16/15,17320
1/15/15,17436.30078
1/14/15,17609.06055
1/13/15,17645.01953
1/12/15,17742.05078
1/9/15,17911.01953
1/8/15,17591.9707
1/7/15,17374.7793
1/6/15,17504.17969
1/5/15,17821.30078
1/2/15,17823.07031
12/31/14,17987.66016
12/30/14,18035.01953
12/29/14,18046.58008
12/26/14,18038.30078
12/24/14,18035.73047
12/23/14,17971.50977
12/22/14,17812.25
12/19/14,17778.01953
12/18/14,17367.84961
12/17/14,17069.16016
12/16/14,17173.07031
12/15/14,17285.74023
12/12/14,17590.05078
12/11/14,17534.30078
12/10/14,17797.99023
12/9/14,17847.36914
12/8/14,17954.93945
12/5/14,17903.05078
12/4/14,17910.01953
12/3/14,17880.90039
12/2/14,17778.84961
12/1/14,17827.26953
11/28/14,17830.55078
11/26/14,17812.25
11/25/14,17819.05078
11/24/14,17812.63086
11/21/14,17721.01953
11/20/14,17677.32031
11/19/14,17685.50977
11/18/14,17643.08984
11/17/14,17631.84961
11/14/14,17653.10938
11/13/14,17618.68945
11/12/14,17604.75
11/11/14,17615.64063
11/10/14,17568.98047
11/7/14,17558.58008
11/6/14,17491.66016
11/5/14,17385.75977
11/4/14,17368.81055
11/3/14,17390.90039
10/31/14,17208.7793
10/30/14,16968.14063
10/29/14,17005.07031
10/28/14,16825.18945
10/27/14,16796.09961
10/24/14,16677.03906
10/23/14,16468.07031
10/22/14,16615.25977
10/21/14,16406.0293
10/20/14,16373.15039
10/17/14,16118.38965
10/16/14,16137.13965
10/15/14,16313.29981
10/14/14,16321.90039
10/13/14,16535.42969
10/10/14,16654.88086
10/9/14,16989.36914
10/8/14,16718.65039
10/7/14,16988.25
10/6/14,17010.33984
10/3/14,16802.19922
10/2/14,16808.26953
10/1/14,17040.46094
9/30/14,17070.44922
9/29/14,17107.68945
9/26/14,16948.61914
9/25/14,17204.85938
9/24/14,17056.64063
9/23/14,17165.91016
9/22/14,17271.71094
9/19/14,17267.21094
9/18/14,17163.73047
9/17/14,17131.00977
9/16/14,17027.16016
9/15/14,16988.75977
9/12/14,17044.05078
9/11/14,17057.41016
9/10/14,17016.05078
9/9/14,17110.39063
9/8/14,17131.71094
9/5/14,17065.89063
9/4/14,17083.60938
9/3/14,17067.24023
9/2/14,17097.41992
8/29/14,17083.41992
8/28/14,17119.06055
8/27/14,17111.0293
8/26/14,17079.57031
8/25/14,17011.81055
8/22/14,17038.26953
8/21/14,16983.88086
8/20/14,16910.0293
8/19/14,16839.06055
8/18/14,16664.44922
8/15/14,16717.00977
8/14/14,16657.32031
8/13/14,16567.53906
8/12/14,16565.55078
8/11/14,16557.26953
8/8/14,16369.67969
8/7/14,16448.28906
8/6/14,16425.09961
8/5/14,16559.9707
8/4/14,16493.7207
8/1/14,16561.69922
7/31/14,16869.63086
7/30/14,16920.10938
7/29/14,16984.33008
7/28/14,16956.91016
7/25/14,17079.5
7/24/14,17092.01953
7/23/14,17117.00977
7/22/14,17054.9707
7/21/14,17095.10938
7/18/14,16978.16016
7/17/14,17133.44922
7/16/14,17061.91016
7/15/14,17055.0293
7/14/14,16950.92969
7/11/14,16918.31055
7/10/14,16980.34961
7/9/14,16916.83008
7/8/14,17022.08984
7/7/14,17063.83008
7/3/14,16979
7/2/14,16949.71094
7/1/14,16828.5293
6/30/14,16852.49023
6/27/14,16846.90039
6/26/14,16866.81055
6/25/14,16817.67969
6/24/14,16934.61914
6/23/14,16946.5
6/20/14,16920.61914
6/19/14,16909.90039
6/18/14,16806.11914
6/17/14,16779.21094
6/16/14,16765.56055
6/13/14,16734.64063
6/12/14,16840.48047
6/11/14,16943.16016
6/10/14,16940.40039
6/9/14,16926.08008
6/6/14,16839.64063
6/5/14,16739.14063
6/4/14,16720
6/3/14,16736.69922
6/2/14,16716.84961
5/30/14,16697.33008
5/29/14,16637.74023
5/28/14,16674.98047
5/27/14,16607.41992
5/23/14,16544.49023
5/22/14,16532.74023
5/21/14,16376.16992
5/20/14,16511.2207
5/19/14,16490.34961
5/16/14,16447.32031
5/15/14,16613.51953
5/14/14,16716.08008
5/13/14,16695.91992
5/12/14,16584.82031
5/9/14,16551.23047
5/8/14,16518.16016
5/7/14,16401.66016
5/6/14,16529.84961
5/5/14,16509.75
5/2/14,16562.33984
5/1/14,16580.25977
4/30/14,16534.85938
4/29/14,16451.17969
4/28/14,16363.2002
4/25/14,16503.25977
4/24/14,16503.39063
4/23/14,16513.73047
4/22/14,16449.38086
4/21/14,16408.91992
4/17/14,16424.14063
4/16/14,16266.23047
4/15/14,16173.49023
4/14/14,16028.29004
4/11/14,16168.87012
4/10/14,16437.24023
4/9/14,16256.37012
4/8/14,16245.16016
4/7/14,16414.15039
4/4/14,16576.01953
4/3/14,16572.35938
4/2/14,16532.80078
4/1/14,16458.05078
3/31/14,16324.21973
3/28/14,16267.76953
3/27/14,16268.66992
3/26/14,16370.70996
3/25/14,16279.2002
3/24/14,16303.28027
3/21/14,16332.69043
3/20/14,16221.98047
3/19/14,16335.70996
3/18/14,16245.92969
3/17/14,16066.37012
3/14/14,16106.32031
3/13/14,16341.54981
3/12/14,16350.66992
3/11/14,16419.39063
3/10/14,16453.09961
3/7/14,16424.5293
3/6/14,16360.55957
3/5/14,16395.88086
3/4/14,16169.32031
3/3/14,16321.70996
2/28/14,16273.23047
2/27/14,16197.7002
2/26/14,16180.36035
2/25/14,16207.33984
2/24/14,16102.26953
2/21/14,16135.91992
2/20/14,16044.15039
2/19/14,16126.23047
2/18/14,16153.96973
2/14/14,16018.08008
2/13/14,15946.99023
2/12/14,15993.04004
2/11/14,15804.16992
2/10/14,15793.62988
2/7/14,15630.63965
2/6/14,15443.83008
2/5/14,15443
2/4/14,15372.92969
2/3/14,15697.69043
1/31/14,15847.19043
1/30/14,15743.03027
1/29/14,15927.08008
1/28/14,15840.83984
1/27/14,15879.04981
1/24/14,16203.29004
1/23/14,16371.99023
1/22/14,16420.48047
1/21/14,16459.26953
1/17/14,16408.01953
1/16/14,16477.69922
1/15/14,16378.03027
1/14/14,16261.99023
1/13/14,16434.0293
1/10/14,16453.61914
1/9/14,16471.41016
1/8/14,16527.66016
1/7/14,16429.01953
1/6/14,16474.03906
1/3/14,16456.89063
1/2/14,16572.16992
12/31/13,16512.38086
12/30/13,16484.50977
12/27/13,16486.36914
12/26/13,16370.96973
12/24/13,16295.7002
12/23/13,16225.25
12/20/13,16178.57031
12/19/13,16162.50977
12/18/13,15876.57031
12/17/13,15884.05957
12/16/13,15759.59961
12/13/13,15745.66016
12/12/13,15844.82031
12/11/13,15970.75
12/10/13,16024.12012
12/9/13,16019.49023
12/6/13,15825.54981
12/5/13,15886.5
12/4/13,15910.50977
12/3/13,16004.71973
12/2/13,16087.12012
11/29/13,16105.16016
11/27/13,16073.37012
11/26/13,16070.92969
11/25/13,16072.08984
11/22/13,16008.70996
11/21/13,15908.07031
11/20/13,15971.2002
11/19/13,15974.05957
11/18/13,15962.71973
11/15/13,15876.16016
11/14/13,15806.21973
11/13/13,15739.5
11/12/13,15773.15039
11/11/13,15759.28027
11/8/13,15591.54004
11/7/13,15751.30957
11/6/13,15628.71973
11/5/13,15631.21973
11/4/13,15621.2002
11/1/13,15558.00977
10/31/13,15619.91992
10/30/13,15680.74023
10/29/13,15572.20996
10/28/13,15569.19043
10/25/13,15523.71973
10/24/13,15414.87012
10/23/13,15465.33984
10/22/13,15394.21973
10/21/13,15401.32031
10/18/13,15371.70996
10/17/13,15369.45996
10/16/13,15170.7002
10/15/13,15300.29981
10/14/13,15231.33008
10/11/13,15126.51953
10/10/13,14806.38965
10/9/13,14778.19043
10/8/13,14938.04004
10/7/13,15069.29981
10/4/13,14994.67969
10/3/13,15127.23047
10/2/13,15182.65039
10/1/13,15132.49023
9/30/13,15249.82031
9/27/13,15317.4502
9/26/13,15274.41992
9/25/13,15339.01953
9/24/13,15402.54004
9/23/13,15452.30957
9/20/13,15635.08984
9/19/13,15677.86035
9/18/13,15533.03027
9/17/13,15503.15039
9/16/13,15381.36035
9/13/13,15312.86035
9/12/13,15327.13965
9/11/13,15194.12988
9/10/13,15067.23047
9/9/13,14927.19043
9/6/13,14941.54981
9/5/13,14929.49023
9/4/13,14832.41992
9/3/13,14801.54981
8/30/13,14844.09961
8/29/13,14817.91016
8/28/13,14770.99023
8/27/13,14939.25
8/26/13,15014.58008
8/23/13,14988.78027
8/22/13,14908.59961
8/21/13,14993.80957
8/20/13,15011.82031
8/19/13,15076.79004
8/16/13,15112.57031
8/15/13,15332.70996
8/14/13,15447.70996
8/13/13,15420.67969
8/12/13,15415.21973
8/9/13,15496.62988
8/8/13,15477.26953
8/7/13,15516.20996
8/6/13,15608.44043
8/5/13,15651.98047
